鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
大同區,建物,臺北市大同區延平北路二段181~210號,0.0,其他,,,1070925,土地0建物1車位1,三層,18,辦公商業大樓,商業用,鋼筋混凝土造,0840213,499.46000000000004,0,0,0,無,有,無,140000,280,坡道平面,0.0,0,售價包含裝潢或家電。;,RPOPMLNJIINFFBA27CC
萬華區,建物,臺北市萬華區環河南路二段211~240號,0.0,住,,,1070919,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720430,112.38,3,2,2,有,有,有,26000,231,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRPMLNJIINFFBA57CC
士林區,建物,臺北市士林區中山北路六段754巷1~30號,0.0,住,,,1070919,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690703,121.87,3,2,2,有,無,有,32000,263,,0.0,0,,RPQNMLNJIINFFEA57CC
士林區,建物,臺北市士林區中山北路七段14巷1~30號,0.0,商,,,1070912,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711116,145.07999999999998,3,2,2,有,有,有,43000,296,,0.0,0,,RPTOMLNJIINFFEA97CC
北投區,建物,臺北市北投區中央北路三段53巷1~30號,689.0,商,,,1070912,土地0建物1車位0,全,7,透天厝,見其他登記事項,鋼筋混凝土造,1000331,2908.9,58,3,60,有,無,有,800000,275,,0.0,0,,RPSPMLNJIINFFEA97CC
松山區,建物,臺北市松山區健康路391~420號,0.0,住,,,1070917,土地0建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000706,352.75,4,2,3,有,無,有,120000,340,其他,0.0,0,,RPVNMLNJIINFFDA97CC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1070913,土地0建物1車位0,見其他登記事項,28,店面(店鋪),商業用,鋼骨混凝土造,0820813,182.62,0,0,0,無,無,無,85000,465,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLNJIINFFDA08CC
松山區,建物,臺北市松山區東興路1~30號,0.0,住,,,1070921,土地0建物2車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0790817,236.8,0,0,0,無,無,無,90000,380,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLNJIINFFDA47CC
信義區,建物,臺北市信義區林口街52巷1~30號,0.0,住,,,1071001,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0581215,67.65,3,2,1,有,無,無,18000,266,,0.0,0,,RPQOMLNJIINFFDA57CC
南港區,房地(土地+建物),臺北市南港區興華路114巷1~30號,35.75,住,,,1070930,土地2建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650322,92.4,0,0,0,無,無,無,37500,406,,0.0,0,,RPSOMLNJIINFFDA77CC
信義區,建物,臺北市信義區福德街221巷1~30號,0.0,住,,,1071002,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.89,3,2,2,有,無,有,24500,229,,0.0,0,本次租賃範圍不包含權狀內附屬建物之瞭望台面積,RPUOMLNJIINFFDA97CC
信義區,建物,臺北市信義區光復南路421~450號,0.0,商,,,1071002,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701231,35.85,1,1,1,有,有,有,18500,516,,0.0,0,,RPRPMLNJIINFFDA77CC
文山區,房地(土地+建物),臺北市文山區木柵路三段77巷1~30號,57.32,商,,,1071001,土地2建物1車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0790319,137.94,1,1,1,有,有,無,27000,196,,0.0,0,,RPSNMLNJIINFFAA37CC
中正區,建物,臺北市中正區羅斯福路二段61~90號,0.0,商,,,1070930,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0780701,155.59,3,1,1,有,無,無,52000,334,,0.0,0,,RPQOMLOJIINFFAA37CC
大安區,建物,臺北市大安區光復南路601~630號,0.0,商,,,1071003,土地0建物1車位1,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970627,256.62,0,0,0,無,無,有,158000,616,坡道平面,0.0,0,,RPUNMLOJIINFFFA18CC
大安區,建物,臺北市大安區市民大道三段151~180號,0.0,住,,,1070928,土地0建物1車位2,四層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111,374.34000000000003,3,2,3,有,有,有,183664,491,坡道平面,49.6,0,,RPVNMLOJIINFFFA28CC
大安區,建物,臺北市大安區信義路四段265巷1~30號,0.0,住,,,1071004,土地0建物2車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,,182.32,0,0,0,無,有,無,130000,713,,0.0,0,有民情風俗因素之交易。;防火巷有增建。租賃層次為一層與地下一層。,RPPOMLOJIINFFFA77CC
大安區,建物,臺北市大安區羅斯福路二段31~60號,0.0,商,,,1070926,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,101.34,0,0,1,有,有,無,34000,336,,0.0,0,第二年起每月租金調整為35000元,RPQOMLOJIINFFFA87CC
大安區,建物,臺北市大安區和平東路一段1~30號,0.0,商,,,1071002,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0760303,97.6,3,2,1,有,有,無,34000,348,,0.0,0,,RPSOMLOJIINFFFA08CC
信義區,建物,臺北市信義區松仁路241~270號,0.0,住,,,1071003,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0570810,95.02,3,2,1,有,無,無,23000,242,,0.0,0,,RPQNMLOJIINFFDA57CC
信義區,建物,臺北市信義區基隆路二段61~90號,0.0,商,,,1070928,土地0建物1車位0,六層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0721101,82.83,0,0,0,無,有,無,29000,350,,0.0,0,,RPRNMLOJIINFFDA67CC
信義區,建物,臺北市信義區基隆路一段421~450號,0.0,商,,,1071001,土地0建物1車位0,三層,15,辦公商業大樓,商業用,鋼筋混凝土造,,147.04999999999998,0,0,0,無,有,無,55000,374,,0.0,0,,RPTNMLOJIINFFDA87CC
信義區,建物,臺北市信義區松德路151~180號,0.0,住,,,1071001,土地0建物1車位0,二十一層,21,辦公商業大樓,見使用執照,鋼骨混凝土造,0841212,103.25999999999999,0,0,0,無,有,無,55000,533,,0.0,0,,RPWNMLOJIINFFDA18CC
松山區,建物,臺北市松山區八德路二段421~450號,0.0,商,,,1070904,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700907,104.38000000000001,0,0,0,無,無,無,40000,383,,0.0,0,,RPXNMLOJIINFFDA28CC
松山區,建物,臺北市松山區南京東路三段331~360號,0.0,商,,,1071001,土地0建物1車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,0670120,107.78999999999999,0,0,0,無,有,無,47000,436,,0.0,0,,RPOOMLOJIINFFDA47CC
松山區,建物,臺北市松山區南京東路五段181~210號,0.0,住,,,1070915,土地0建物1車位0,九層,16,辦公商業大樓,商業用,鋼骨混凝土造,0830310,164.0,0,0,0,無,有,有,104200,635,,0.0,0,,RPVOMLOJIINFFDA18CC
松山區,建物,臺北市松山區八德路三段31~60號,0.0,商,,,1070910,土地0建物1車位0,五層,16,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0811121,465.31,4,2,0,有,有,有,250000,537,,0.0,0,,RPXOMLOJIINFFDA38CC
大同區,房地(土地+建物),臺北市大同區萬全街1~30號,1618.0,商,,,1070912,土地1建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041016,59.47,0,0,1,有,無,無,48000,807,,0.0,0,,RPTNMLOJIINFFBA67CC
大同區,房地(土地+建物)+車位,臺北市大同區長安西路91~120號,0.0,商,,,1071001,土地0建物1車位1,十一層,12,辦公商業大樓,商業用,鋼筋混凝土造,0880809,290.77,2,1,0,有,有,無,180000,619,坡道平面,34.25,0,,RPVNMLOJIINFFBA87CC
大同區,建物,臺北市大同區延平北路一段91~120號,0.0,商,,,1070918,土地0建物1車位0,五層,10,辦公商業大樓,商業用,鋼筋混凝土造,0810107,108.44,3,1,1,有,有,有,28545,263,,0.0,0,租金含稅,RPWOMLOJIINFFBA08CC
中山區,建物,臺北市中山區龍江路384巷1~30號,27.26,住,,,1070926,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710918,104.97,3,2,2,有,無,有,26000,248,,0.0,0,,RPTNMLOJIINFFCA77CC
中山區,建物,臺北市中山區松江路271~300號,0.0,商,,,1070910,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0590131,160.87,4,2,2,有,有,有,37000,230,,0.0,0,,RPSOMLOJIINFFCA77CC
中山區,房地(土地+建物),臺北市中山區北安路571~600號,26.25,住,,,1071004,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650904,69.83,2,2,1,有,無,無,17000,243,,0.0,0,,RPXOMLOJIINFFCA28CC
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷118弄1~30號,33.53,住,,,1070905,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010423,130.18,3,2,2,有,有,有,35000,269,坡道機械,4.76,0,親友、員工或其他特殊關係間之交易。;,RPQPMLOJIINFFCA67CC
中山區,建物,臺北市中山區天津街61~90號,0.0,商,,,1070909,土地0建物1車位0,地下層,9,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0661024,258.52,0,1,1,有,有,無,60000,232,,0.0,0,,RPOQMLOJIINFFCA57CC
中山區,建物,臺北市中山區松江路31~60號,0.0,商,,,1070928,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860521,93.27000000000001,3,2,2,有,有,有,43000,461,,0.0,0,,RPRQMLOJIINFFCA87CC
中山區,建物,臺北市中山區新生北路三段1~30號,0.0,住,,,1071001,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710420,75.1,2,1,1,有,有,無,22704,302,,0.0,0,承租二分之一,RPXQMLOJIINFFCA48CC
中山區,建物,臺北市中山區新生北路三段1~30號,0.0,住,,,1071001,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710420,75.1,2,1,1,有,有,有,22704,302,,0.0,0,承租二分之一,RPORMLOJIINFFCA67CC
中山區,建物,臺北市中山區松江路211~240號,0.0,其他,,,1070919,土地0建物1車位0,七層,18,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030703,927.84,0,0,0,無,有,無,743776,802,,0.0,0,,RPROMLPJIINFFCA77CC
中山區,建物,臺北市中山區南京東路三段1~30號,0.0,商,,,1070929,土地0建物1車位0,地下一層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0610229,275.0,0,0,0,無,有,無,100000,364,,0.0,0,,RPTOMLPJIINFFCA97CC
中山區,建物,臺北市中山區林森北路391~420號,0.0,商,,,1070912,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,66.03,2,1,1,有,有,有,20000,303,,0.0,0,,RPVOMLPJIINFFCA18CC
中山區,建物,臺北市中山區新生北路三段56巷1~30號,0.0,商,,,1071005,土地0建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981021,193.15,3,2,2,有,有,有,77000,399,坡道平面,42.99,0,,RPXOMLPJIINFFCA38CC
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路151~180號,114.61,其他,,,1070918,土地1建物1車位3,七層,7,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0980623,346.49,4,1,0,有,有,有,105450,378,坡道平面,91.44,9000,,RPRPMLPJIINFFCA87CC
中正區,建物,臺北市中正區銅山街1~30號,0.0,住,,,1071003,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590121,94.9,3,2,1,有,無,無,45000,474,,0.0,0,,RPUNMLPJIINFFBA87CC
中正區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1071002,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,46.31,0,0,1,有,有,有,24000,518,,0.0,0,,RPXOMLPJIINFFBA28CC
士林區,房地(土地+建物),臺北市士林區德行東路358巷8弄1~30號,51.85,住,,,1071002,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770423,145.65,5,2,2,有,無,無,32000,220,,0.0,0,,RPTNMLPJIINFFEA08CC
士林區,建物,臺北市士林區忠誠路二段21巷1~30號,0.0,住,,,1070915,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980416,206.89,3,2,2,有,有,有,80000,387,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLPJIINFFEA87CC
士林區,建物,臺北市士林區芝玉路二段52巷1~30號,0.0,住,,,1071005,土地0建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870218,224.08,4,2,2,有,無,有,66000,295,坡道機械,44.93,0,,RPSOMLPJIINFFEA08CC
松山區,建物,臺北市松山區南京東路五段151~180號,0.0,商,,,1070921,土地0建物1車位0,一層,16,店面(店鋪),商業用,鋼筋混凝土造,0760526,147.49,0,0,0,無,有,有,100000,678,,0.0,0,,RPRNMLPJIINFFDA77CC
南港區,建物,臺北市南港區園區街31~60號,0.0,住,,,1071005,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,97.38,2,2,1,有,有,無,36000,370,坡道平面,33.87,0,,RPTTMLPJIINFFDA58CC
松山區,房地(土地+建物),臺北市松山區民生東路四段75巷1~30號,44.67,住,,,1070909,土地2建物1車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,115.59,3,2,2,有,無,有,36000,311,,0.0,0,,RPXTMLPJIINFFDA98CC
大安區,建物,臺北市大安區忠孝東路四段205巷31~60號,0.0,住,,,1070923,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0930616,30.21,1,1,1,有,有,有,26000,861,,0.0,0,,RPPNMLPJIINFFFA77CC
大安區,建物,臺北市大安區復興南路二段180巷1~30號,0.0,住,,,1070905,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840629,134.53,3,3,2,有,無,有,72000,535,,0.0,0,,RPRNMLPJIINFFFA97CC
大安區,建物,臺北市大安區信義路三段31巷1~30號,0.0,住,,,1070910,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000512,130.87,2,2,2,有,有,有,78000,596,,0.0,0,,RPTNMLPJIINFFFA18CC
大安區,建物,臺北市大安區仁愛路四段345巷4弄1~30號,0.0,住,,,1071001,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,,35.54,0,0,1,有,無,無,40000,1125,,0.0,0,標的物部分出租,RPUNMLPJIINFFFA28CC
中正區,建物,臺北市中正區汀州路一段211~240號,0.0,住,,,1070926,土地0建物1車位0,全,2,透天厝,,加強磚造,,59.87,0,0,0,無,無,無,27000,451,,0.0,0,,RPTNMLPJIINFFAA67CC
文山區,建物,臺北市文山區溪口街61~90號,0.0,住,,,1070928,土地0建物2車位0,見其他登記事項,2,公寓(5樓含以下無電梯),商業用,加強磚造,,214.46,4,2,2,有,無,無,36000,168,,0.0,0,有民情風俗因素之交易。;,RPUNMLPJIINFFAA77CC
中正區,建物,臺北市中正區南昌路一段31~60號,92.8,商,,,1070911,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,46.4,1,1,1,有,無,有,20000,431,,0.0,0,,RPPNMLQJIINFFAA37CC
松山區,建物,臺北市松山區南京東路四段47及31~60號,0.0,商,,,1071005,土地0建物2車位0,一層,9,店面(店鋪),住家用,鋼筋混凝土造,0630729,266.62,0,0,0,無,無,無,282800,1061,,0.0,0,,RPPNMLQJIINFFDA67CC
士林區,建物,臺北市士林區中山北路七段14巷1~30號,0.0,住,,,1070920,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660929,127.44999999999999,2,1,1,有,有,有,55000,432,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPSNMLQJIINFFEA08CC
士林區,建物,臺北市士林區天母西路13巷1~30號,0.0,商,,,1071001,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731113,151.98000000000002,3,1,2,有,有,有,78000,513,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPTNMLQJIINFFEA18CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1070921,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,71.64,2,1,1,有,有,有,45000,628,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPSNMLQJIINFFCA87CC
中山區,建物,臺北市中山區中山北路一段105巷1~30號,0.0,商,,,1070928,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060110,115.58000000000001,2,1,1,有,有,有,80000,692,,0.0,0,售價包含裝潢或家電。;,RPTNMLQJIINFFCA97CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1070928,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,64.72,1,1,1,有,有,有,41000,633,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPUNMLQJIINFFCA08CC
中山區,建物,臺北市中山區合江街188巷1~30號,0.0,住,,,1070913,土地0建物1車位0,一層,7,辦公商業大樓,住家用,鋼筋混凝土造,0671117,76.55000000000001,0,0,0,無,有,無,35000,457,,0.0,0,,RPOOMLSJIINFFCA77CC
內湖區,建物,臺北市內湖區金莊路61~90號,0.0,其他,,,1070910,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0990512,210.95,5,2,3,有,有,有,50000,237,坡道平面,0.0,0,,RPSOMLSJIINFFCA18CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1071005,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,有,有,50000,751,,0.0,0,,RPUOMLSJIINFFCA38CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1070925,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,有,有,50000,751,,0.0,0,,RPVOMLSJIINFFCA48CC
內湖區,建物,臺北市內湖區康寧路三段151~180號,0.0,商,,,1070921,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0760525,119.81,0,0,0,無,無,無,110000,918,,0.0,0,有停車空間、租金調漲:第四年起租金調為115500元,RPXOMLSJIINFFCA68CC
中山區,建物,臺北市中山區錦州街151~180號,0.0,商,,,1070922,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,83.58,2,2,1,有,無,有,24000,287,,0.0,0,,RPPPMLSJIINFFCA97CC
中山區,房地(土地+建物),臺北市中山區龍江路45巷1~30號,0.0,住,,,1071001,土地1建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0640227,117.02,0,0,0,無,無,無,40000,342,,0.0,0,,RPQPMLSJIINFFCA08CC
中山區,建物,臺北市中山區中山北路一段53巷1~30號,0.0,住,,,1071005,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970104,89.41,2,1,1,有,無,有,48000,537,,0.0,0,,RPRPMLSJIINFFCA18CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1070917,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,75.74000000000001,2,2,1,有,有,有,60000,792,,0.0,0,,RPTPMLSJIINFFCA38CC
中山區,建物,臺北市中山區新生北路二段31~60號,0.0,住,,,1070920,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980916,144.02,4,2,2,有,有,有,50000,347,,0.0,0,,RPVPMLSJIINFFCA58CC
中山區,建物,臺北市中山區中山北路二段121~150號,0.0,商,,,1070920,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970611,182.99,4,2,2,有,有,有,62000,339,,0.0,0,,RPXPMLSJIINFFCA78CC
中山區,建物,臺北市中山區樂群二路151~180號,0.0,住,,,1070925,土地0建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.72,3,2,2,有,有,有,30000,193,坡道平面,0.0,0,車位面積無法分算,RPTQMLSJIINFFCA48CC
